Date,Monitors,Transect_Name,Site,Transect_length,Transect_Distance,Quadrat_Notes,Percent_Cover,PSOC,Cover_Category,Habitat,Phase
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,18,,5,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,20,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,22,,15,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,24,,40,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,26,,35,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,28,,3,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,30,,5,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,0,,97,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,45,,50,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,4,,3,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,6,,1,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,8,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,10,,50,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,12,,40,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,14,,95,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,16,,60,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,18,,60,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,20,,70,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,22,,60,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,24,,70,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,26,,15,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,28,,7,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL1E,harder_seep,30,30,,40,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,0,,1,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,2,,7,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,4,,85,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,6,,55,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,8,,8,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,10,,80,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,12,,93,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,14,,87,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,16,,75,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,18,,27,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,20,,45,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,22,,1,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,24,,3,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,26,,3,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,28,,8,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",U1E,harder_seep,30,30,,1,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,0,,85,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,2,,95,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,4,,86,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,6,,85,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,8,,97,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,10,,65,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,12,,78,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,14,,70,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,16,,2,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,18,,3,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,20,,96,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,22,,23,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,24,,44,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,26,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,28,,70,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-12,"Claire WS, Levi C",WL1W,harder_seep,30,30,,95,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,0,,63,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,2,,5,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,4,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,6,,8,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,8,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,10,,15,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,12,,25,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,14,,16,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,16,,15,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,18,,50,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,20,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,22,,20,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,24,,70,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,26,,25,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,28,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-18,"Claire WS, James M",U1W,harder_seep,30,30,,70,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne chapman,WL1W,harder_seep,30,30,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,0,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,2,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,4,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,6,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,8,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,10,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,12,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,14,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,16,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,18,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,20,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,22,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,24,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,26,,2,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1W,harder_seep,30,30,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,0,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,2,,2,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,4,,7,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,6,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,8,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,10,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,12,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,14,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,16,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,18,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,20,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,22,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,24,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,26,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,28,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL2W,harder_seep,30,30,,10,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,0,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,2,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,4,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,6,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,8,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,10,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,12,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,14,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,16,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,18,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,20,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,22,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,24,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,26,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,28,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,WL1E,harder_seep,30,30,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,0,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,2,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,4,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,6,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,8,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,10,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,12,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,14,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,16,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,18,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,20,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,22,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,24,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,26,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,28,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1W,harder_seep,30,30,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,0,,1,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,2,,5,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,4,,80,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,6,,60,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,8,,20,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,10,,80,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,12,,20,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,14,,95,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,16,,20,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,18,,10,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,20,,30,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,22,,30,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,24,,40,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,26,,30,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,28,,5,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U1E,harder_seep,30,30,,14,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,0,,1,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,2,,5,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,4,,90,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,6,,20,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,8,,5,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,10,,4,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,12,,60,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,14,,22,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,16,,80,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,18,,70,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,20,,5,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,22,,20,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,24,,41,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,26,,34,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,28,,9,Bare Ground,BARE GROUND,Upland,Phase 1
2020-10-15,Wayne C,U2E,harder_seep,30,30,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,0,,1,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,2,,12,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,4,,88,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,6,,64,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,8,,17,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,10,,83,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,12,,86,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,14,,80,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,16,,80,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,18,,26,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,20,,78,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,22,,3,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,24,,2,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,26,,1,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,28,,20,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U1E,harder_seep,30,30,,3,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,0,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,2,,10,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,4,,27,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,6,,12,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,8,,9,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,10,,57,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,12,,30,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,14,,1,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,16,,20,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,18,,13,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,20,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,22,,2,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,24,,15,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,26,,17,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,28,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,U2E,harder_seep,30,30,,2,Bare Ground,BARE GROUND,Upland,Phase 1
2025-01-24,Claire Wilhelm-Safian,WL1E,harder_seep,30,0,,88,Bare Ground,BARE GROUND,Wetland,Phase 1
